fua_code,fua_name,Gini_2000,Gini_2001,Gini_2002,Gini_2003,Gini_2004,Gini_2005,Gini_2006,Gini_2007,Gini_2008,Gini_2009,Gini_2010,Gini_2011,Gini_2014,Gini_2015,Gini_2016,Gini_2017,Gini_2018,Gini_2019,Gini_2020,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,t10_b10_2000,t10_b10_2001,t10_b10_2002,t10_b10_2003,t10_b10_2004,t10_b10_2005,t10_b10_2006,t10_b10_2007,t10_b10_2008,t10_b10_2009,t10_b10_2010,t10_b10_2011,t10_b10_2014,t10_b10_2015,t10_b10_2016,t10_b10_2017,t10_b10_2018,t10_b10_2019,t10_b10_2020
AL001L1,Tirana,0.3896,0.3951,0.382,0.4231,0.3911,0.46936,0.40731,0.44406,0.4348,0.38756,0.39178,0.40818,0.36898,0.38334,0.36447,0.38575,0.37497,0.37435,0.36675,427846.5137254903,436220.105882353,446398.325490196,456425.7960784314,466636.7058823531,477821.9764705883,489697.2784313724,501122.658823529,514571.76078431326,527715.5568627444,542071.7843137259,557299.149019608,605541.8431372552,623875.1098039218,643669.3490196083,664771.0509803921,687733.6862745099,711646.3882352943,736918.3450980391,113.31,135.0,93.72,152.41,104.17,224.01,102.92,181.49,137.21,77.74,80.8,89.12,57.79,62.57,57.03,62.76,53.2,54.77,51.24
AL003L1,Elbasan,0.24642,0.26005,0.27027,0.29652,0.26986,0.26056,0.26919,0.24577,0.25652,0.22773,0.22689,0.24625,0.22562,0.23838,0.21323,0.22908,0.21855,0.22102,0.22629,138149.95294117654,134282.30980392164,131174.70196078435,130607.08235294124,126552.46666666672,124450.5882352942,120011.52549019616,118076.0235294118,116805.21960784312,114096.0784313726,110636.92941176474,108931.80392156864,100974.8039215686,98837.69411764704,97134.66666666664,95537.8470588235,94100.26666666663,92485.68235294116,91204.27843137251,23.71,27.02,38.16,45.46,36.95,34.58,30.99,28.41,29.85,27.44,26.31,29.87,26.94,27.46,24.43,27.91,26.39,26.41,26.29
AL004L1,ShkodÃ«r,0.34091,0.35905,0.30939,0.34952,0.32611,0.35729,0.34677,0.34306,0.35925,0.30246,0.31754,0.3187,0.3001,0.30243,0.30325,0.31185,0.28569,0.29613,0.31228,101272.44313725492,99584.36862745098,98000.17647058824,97777.34509803922,96597.78823529412,95776.41960784314,94727.968627451,93437.25882352942,92684.34509803922,91693.19607843136,91683.02352941176,91514.73333333334,89072.70196078432,88568.50980392157,88317.41176470587,88068.88235294117,87723.8,87652.50588235294,87529.9254901961,42.94,64.2,36.78,45.44,41.99,57.84,61.94,43.26,39.98,37.77,44.94,38.82,34.71,35.12,37.56,36.6,30.3,34.32,36.49
AL005L0,VlorÃ«,0.36298,0.39113,0.38208,0.38915,0.38387,0.39011,0.41042,0.43643,0.40138,0.3786,0.38284,0.39505,0.35262,0.37876,0.36619,0.38147,0.36842,0.37332,0.36496,67685.57647058828,68098.00000000007,67412.70196078434,67207.70588235301,66836.55686274514,66642.88235294125,66021.76862745105,65512.27058823532,65008.91764705884,64274.54901960788,63631.43529411765,63011.34901960782,62529.56078431374,62255.92941176472,61904.03137254901,61641.22352941176,61502.039215686265,61242.321568627456,61180.10588235296,52.23,66.53,60.08,56.6,66.22,79.27,84.41,133.25,80.96,81.73,81.68,98.97,57.91,73.22,68.16,76.46,70.41,69.47,69.81
AT001L3,Wien,0.29248,0.28449,0.28414,0.32534,0.30011,0.28042,0.2931,0.30875,0.28437,0.29621,0.29322,0.30836,0.25868,0.27202,0.25802,0.29134,0.27239,0.27339,0.26115,1293343.776470588,1315727.933333333,1322039.8156862748,1334127.2078431372,1353872.827450981,1368138.8117647057,1379854.8431372554,1399959.631372549,1408419.2431372553,1427473.8000000007,1440675.1137254909,1449000.0745098044,1496629.623529411,1511604.2941176458,1524368.925490195,1541646.99607843,1558142.886274509,1573517.6039215676,1589315.9960784295,30.58,31.32,37.62,40.72,35.03,30.54,33.06,36.87,31.99,34.06,34.34,37.93,29.98,29.4,28.54,33.4,29.3,31.02,29.4
AT002L3,Graz,0.23777,0.34612,0.25404,0.26218,0.30311,0.27515,0.25552,0.28973,0.32614,0.24626,0.27503,0.34296,0.28678,0.27586,0.27626,0.32564,0.31069,0.35787,0.32333,291864.77647058823,294322.02352941164,297379.768627451,299771.5607843137,304253.38823529414,308167.31372549024,310311.9450980392,314088.737254902,308228.0784313724,319910.2901960783,323102.93333333347,327470.73333333334,338690.33333333326,341626.54901960783,345885.2078431373,348374.337254902,352531.2235294118,355885.737254902,359535.95686274505,34.14,52.33,33.86,38.77,46.25,40.99,39.7,43.07,52.99,34.58,41.33,51.5,39.01,37.25,37.82,50.57,47.19,62.43,48.7
AT003L3,Linz,0.27716,0.27383,0.33563,0.27067,0.26256,0.30115,0.29424,0.29892,0.28018,0.27763,0.26933,0.29216,0.30856,0.27972,0.24566,0.26067,0.28863,0.30688,0.26618,291304.97647058795,292222.2274509801,292199.7490196075,292491.8588235294,296381.9450980391,298730.12549019593,299919.6313725488,301333.4901960782,277886.7019607841,305530.188235294,305827.58823529416,307771.58823529404,311706.0235294116,313183.0470588232,314833.9254901959,316780.1137254899,317894.1725490194,321473.16470588226,321149.5058823528,53.19,66.53,97.31,62.58,59.17,72.87,63.63,75.85,55.25,65.71,54.87,68.38,69.75,65.66,44.94,51.44,56.74,81.4,55.08
AT004L3,Salzburg,0.16414,0.15369,0.1616,0.16398,0.1756,0.1765,0.16537,0.17977,0.16583,0.16761,0.17833,0.17797,0.15344,0.1675,0.15873,0.15603,0.16217,0.16274,0.16201,176816.67450980406,177754.24705882365,178406.71372549038,178825.82352941178,180102.4784313724,180934.51764705867,182453.72941176468,183232.925490196,184385.84313725488,186286.15686274492,186763.05490196077,188439.75686274515,191498.96862745105,192648.2156862745,193287.9764705883,194253.67058823537,194857.2823529412,196787.5725490196,197249.7764705883,19.68,18.57,18.38,19.3,20.33,20.8,19.83,21.1,19.89,19.85,22.04,21.08,18.24,19.38,18.57,18.68,18.96,18.54,18.82
AT005L3,Innsbruck,0.16057,0.15298,0.24602,0.15382,0.15787,0.16612,0.16161,0.16597,0.15497,0.16316,0.17116,0.18398,0.13453,0.14791,0.14588,0.14998,0.15134,0.15559,0.15266,144367.843137255,146651.30196078436,142043.2862745099,149842.94509803934,150409.09019607867,151877.36470588262,153544.0627450983,153821.41176470614,155816.64705882373,157070.79607843148,158153.89019607846,158938.15686274515,162460.39215686286,163713.65490196086,165272.80784313733,166603.9686274511,167840.23921568642,169358.52549019616,170208.1137254903,19.53,18.45,27.99,18.7,19.28,19.64,19.39,19.44,18.47,19.04,19.81,21.19,16.0,17.16,16.73,17.13,17.31,17.42,17.38
AT006L2,Klagenfurt,0.15844,0.16846,0.15123,0.15827,0.17809,0.17998,0.17846,0.18986,0.18379,0.18283,0.18982,0.19114,0.18748,0.17448,0.18302,0.1961,0.18458,0.20589,0.20002,109744.13333333332,110478.8235294117,110541.94901960775,110940.98431372542,111199.12156862736,111978.66666666658,112502.36862745092,113056.92941176464,113188.43921568616,114363.22745098032,114339.38039215676,113825.29803921565,114660.4039215686,115287.125490196,115274.5803921568,115913.52941176468,116209.09411764702,116416.99607843136,117228.1764705882,18.9,19.01,18.57,19.08,20.99,20.63,20.66,21.95,21.22,22.41,21.44,20.79,20.1,19.33,19.76,20.43,19.44,21.32,20.96
BA001L1,Sarajevo,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BA002L1,Banja Luka,0.29579,0.45222,0.19745,0.30583,0.27432,0.32616,0.33088,0.26584,0.34328,0.26923,0.36658,0.30363,0.23451,0.31151,0.27062,0.30843,0.30726,0.28927,0.2813,123.18823529411765,144.18431372549023,96.20000000000005,140.49411764705886,94.81960784313728,108.3843137254902,121.27058823529411,104.84705882352942,95.5137254901961,84.79215686274512,106.3137254901961,64.24705882352943,45.5921568627451,55.08627450980392,48.65882352941178,58.03529411764707,53.090196078431376,60.788235294117655,58.06666666666667,24.23,49.85,16.93,22.1,24.18,27.03,22.07,18.27,36.2,28.98,48.73,26.75,28.12,26.18,26.75,26.89,30.4,23.59,23.64
BA003L1,Mostar,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BA004L1,Tuzla,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BA005L1,Zenica,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BE001L2,Bruxelles / Brussel,0.25409,0.26312,0.28995,0.27564,0.2527,0.25294,0.25963,0.26982,0.26679,0.2755,0.26686,0.28073,0.25419,0.25001,0.23657,0.24218,0.25517,0.25072,0.25001,1210820.447058824,1216974.6941176483,920438.1764705871,1241302.3764705895,1258709.443137255,1271268.11764706,1282876.1843137266,1280562.3372549035,1313038.545098039,1326557.9098039248,1338487.458823532,1356783.4823529422,1394888.047058825,1410096.360784315,1424553.5058823533,1440268.7999999998,1456141.850980393,1472293.9137254888,1488673.5372549011,35.19,32.87,33.7,34.61,33.94,32.45,34.26,35.04,33.83,36.61,34.28,35.18,31.51,29.57,28.38,28.49,29.65,28.89,28.8
BE002L2,Antwerpen,0.27871,0.30429,0.34429,0.30742,0.31172,0.30864,0.31698,0.31093,0.30057,0.31517,0.31555,0.31971,0.30504,0.30496,0.30861,0.30691,0.3279,0.31578,0.3217,525623.7058823525,520550.22745098046,472460.08627450967,530169.3294117647,542385.4627450977,546813.0431372542,548935.5960784312,551621.411764705,547743.0078431364,560579.945098039,564599.7490196071,569000.4470588227,580213.2352941168,585375.1607843122,589060.9058823521,593401.8549019601,597189.9882352934,602787.478431372,606646.7607843128,66.26,77.82,123.5,83.87,93.34,88.38,100.49,85.43,75.87,89.75,90.25,95.63,85.83,85.08,84.75,87.99,102.46,93.55,102.22
BE003L2,Gent,0.22031,0.2374,0.28113,0.23548,0.2372,0.24575,0.24767,0.23545,0.23545,0.25186,0.25906,0.2686,0.23205,0.24157,0.2347,0.2352,0.2529,0.24427,0.24369,292011.4078431372,290879.57647058833,284494.60000000003,295941.0823529413,299545.7725490196,301538.5960784313,303097.8196078431,304569.9098039215,307341.70196078444,308608.5490196077,310345.8980392156,312923.5999999999,318749.2901960786,320952.65490196086,322889.13725490205,325137.8980392158,327601.61568627466,329703.7411764707,331366.16862745106,39.86,44.93,66.22,45.11,46.48,49.79,49.71,45.22,41.87,50.68,50.9,54.45,43.39,44.83,42.34,43.03,48.19,44.11,45.54
